Player,Age,Tm,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,W/L%,playoffs,seed,Share,Rank,got_votes,is_mvp,gp_pct
David Lee,30,GSW,33.2,9.3,2.1,0.7,0.4,18.2,14.2,0.5,0.0,0.0,0.5,0.8,2.2,3.0,19.1,0.6,24.3,1.6,7.6,15.3,10.9,1.0,0.9,12.0,0.2,0.8,2014,12.5,0.6,1,6,0.0,,0,0,0.8
Kawhi Leonard,22,SAS,29.1,6.2,2.0,1.7,0.8,12.8,9.8,0.5,2.8,0.4,0.6,0.8,1.2,1.9,19.4,0.6,18.3,3.8,7.7,12.1,10.4,3.0,1.9,10.3,0.2,5.8,2014,10.7,0.8,1,1,0.0,,0,0,0.8
Damian Lillard,23,POR,35.8,3.5,5.6,0.8,0.3,20.7,15.9,0.4,6.8,0.4,0.5,0.9,2.4,2.4,18.6,0.6,25.0,3.5,9.6,5.3,25.1,1.1,0.5,11.5,0.2,2.7,2014,10.2,0.7,1,4,0.0,,0,0,1.0
Jeremy Lin,25,HOU,28.9,2.6,4.1,1.0,0.4,12.5,9.3,0.4,3.2,0.4,0.5,0.8,2.5,2.3,14.3,0.6,20.4,0.9,4.4,5.1,22.3,1.7,1.0,18.4,0.1,-0.3,2014,8.1,0.7,1,5,0.0,,0,0,0.9
Shaun Livingston,28,BRK,26.0,3.2,3.2,1.2,0.4,8.3,6.4,0.5,0.1,0.2,0.5,0.8,1.4,2.3,14.5,0.6,16.1,1.3,4.4,7.5,20.1,2.5,1.3,15.5,0.1,0.6,2014,8.0,0.5,1,5,0.0,,0,0,0.9
Brook Lopez,25,BRK,31.4,6.0,0.9,0.5,1.8,20.7,13.5,0.6,0.1,0.0,0.6,0.8,1.6,3.1,25.4,0.6,27.1,0.4,2.3,11.5,6.1,0.9,4.8,9.1,0.2,1.1,2014,9.2,0.5,1,5,0.0,,0,0,0.2
Robin Lopez,25,POR,31.7,8.5,0.9,0.3,1.7,11.1,7.9,0.6,0.0,0.0,0.6,0.8,1.0,2.4,17.7,0.6,14.0,3.3,9.5,14.5,4.2,0.5,3.7,10.1,0.2,3.0,2014,11.4,0.7,1,4,0.0,,0,0,1.0
Roy Hibbert,27,IND,29.7,6.6,1.1,0.4,2.2,10.8,9.3,0.4,0.1,0.4,0.4,0.8,1.8,3.3,13.5,0.5,19.4,1.1,5.4,12.5,6.2,0.6,5.7,14.5,0.1,-0.2,2014,10.3,0.7,1,1,0.0,,0,0,1.0
John Henson,23,MIL,26.5,7.1,1.6,0.6,1.7,11.1,9.1,0.5,0.0,0.0,0.5,0.5,1.6,2.6,17.9,0.5,20.3,1.1,3.3,15.3,10.9,1.2,5.1,13.7,0.1,0.3,2014,11.0,0.2,0,15,0.0,,0,0,0.9
Gerald Henderson,26,CHA,32.0,4.0,2.6,0.7,0.4,14.0,12.1,0.4,1.5,0.3,0.5,0.8,1.5,2.1,13.1,0.5,22.1,0.2,3.6,7.1,13.9,1.1,1.0,9.6,0.1,-1.7,2014,7.7,0.5,1,7,0.0,,0,0,0.9
